block2h,block_id,x_energy,y_shift,quadrant_id,quadrant_name
A,20231002-A-GBPUSD,0.519444,-0.250000,Q2,Consolidation
B,20231002-B-GBPUSD,0.130333,-0.250000,Q2,Consolidation
C,20231002-C-GBPUSD,0.570964,-1.000000,Q4,Retracement
D,20231002-D-GBPUSD,0.629660,-0.500000,Q3,Reversal
E,20231002-E-GBPUSD,0.868657,0.750000,Q3,Reversal
F,20231002-F-GBPUSD,0.492560,0.000000,Q2,Consolidation
G,20231002-G-GBPUSD,0.932429,0.750000,Q3,Reversal
H,20231002-H-GBPUSD,0.604615,0.750000,Q3,Reversal
I,20231002-I-GBPUSD,0.504321,0.000000,Q2,Consolidation
J,20231002-J-GBPUSD,0.075862,0.750000,Q4,Retracement
K,20231002-K-GBPUSD,0.257658,0.750000,Q4,Retracement
L,20231002-L-GBPUSD,0.351838,0.750000,Q4,Retracement
